Cpd,Formula,Mass,Score,RT
3439,C24H41O10P,520.2425,94.34,3.501
1373,C18H36O6,348.2511,93.94,8.57
2879,C35H53NO7,599.3822,93.92,4.619
6961,C28H46O13,590.293,93.61,4.489
4918,C19H32NO11P,481.1717,93.59,3.293
4438,C32H53O12P,660.3244,93.57,16.03
4633,C32H57O14P,696.3492,90.53,4.307
1562,C55H106O10,926.7721,89.31,17.225
5328,C16H22N6O4,362.169,89.26,11.429
7355,C26H36O5S,460.2295,88.29,3.397
5441,C22H33N7O4,459.2618,87.42,7.92
1495,C51H94O15,946.659,86.44,18.472
7448,C23H31NO7S,465.1839,86.05,3.397
493,C6H10O4S,178.0292,85.46,13.301
7281,C22H38O4S,398.2496,85.33,4.099
973,C22H41NO4S,415.2761,85.33,4.099
2472,C59H87NO8,937.6428,85.18,13.405
2190,C26H48O9,504.3295,85.06,4.515
3997,C41H62NO8P,727.4242,84.65,5.737
60,C8H17NO,143.1305,84.53,5.763
