Run,Cpd,Formula,TargetMass,Score,RT,CID,MatchMW,DeltaPPM,IUPACName,SMILES,Rank
bigmed,3601,C16H19N3O5S,365.1046,91.56,4.749,,,,,,
bigmed,1637,C64H117NO10,1059.8758,91.27,20.107,,,,,,
bigmed,1860,C31H55NO7,553.3978,90.28,5.399,,,,,,
bigmed,3186,C31H48NO13P,673.2838,89.78,13.611,,,,,,
bigmed,3635,C7H11N5O,181.0965,86.7,3.763,,,,,,
bigmed,3462,C12H23N3O5S2,353.1085,86.64,10.284,,,,,,
bigmed,1354,C66H108O12S,1124.7582,86.63,18.885,,,,,,
bigmed,20,C16H18FN3O3,319.1314,86.22,0.647,,,,,,
bigmed,2236,C27H47O10P,562.2907,86.09,4.749,,,,,,
bigmed,1444,C35H59NO8,621.4269,85.5,19.093,,,,,,
bigmed,3593,C10H6O4,190.0273,84.73,0.933,,,,,,
bigmed,1736,C39H66O12,726.4574,84.01,19.015,,,,,,
bigmed,3474,C12H21N3O4S,303.1238,83.77,0.933,,,,,,
bigmed,3400,C12H24N4O4S,320.1503,83.77,0.933,,,,,,
bigmed,1280,C43H82O13S,838.543,83.67,19.067,,,,,,
bigmed,3534,C4H11NO3,121.0736,83.41,0.362,,,,,,
bigmed,3142,C65H108NO11P,1109.7686,83.39,18.989,,,,,,
bigmed,3654,C16H18O5,290.1161,83.29,0.933,,,,,,
bigmed,3033,C47H77O13P,880.5098,83.11,18.989,,,,,,
bigmed,635,C7H15NO,129.1145,83.01,17.612,,,,,,
large,265,C18H30O2,278.2243,94.49,8.804,,,,,,
large,3744,C17H13NO3,279.0898,89.54,5.037,,,,,,
large,3757,C18H14O4,294.0878,88.82,3.764,,,,,,
large,1582,C44H78O11,782.5578,88.68,15.015,,,,,,
large,2035,C36H68O6,596.5016,88.3,15.82,,,,,,
large,3358,C6H9NO3,143.0579,87.2,12.729,,,,,,
large,2393,C46H86NO8P,811.6097,86.55,14.678,,,,,,
large,2846,C42H70O15P2,876.4194,85.79,14.366,,,,,,
large,1316,C31H46O12S,642.2723,85.63,12.651,,,,,,
large,483,C24H38N2O,370.2971,85.18,18.416,,,,,,
large,4086,C37H75NO3,581.5771,84.87,16.261,,,,,,
large,521,C20H37NO2,323.2816,84.69,10.312,,,,,,
large,3873,C44H81NO5,703.6133,84.35,22.909,,,,,,
large,27,C16H19NO4,289.1328,84.22,16.52,,,,,,
large,3412,C5H10N2O4,162.0636,84.2,8.232,,,,,,
large,5015,C47H72O2,668.5536,83.4,19.117,,,,,,
large,32,C6H5NO2,123.0321,83.1,13.093,,,,,,
large,4874,C34H49NO10,631.3353,82.3,22.883,,,,,,
large,375,C15H28N2O4,300.2051,81.98,7.998,,,,,,
large,3344,C12H15N4O2S,279.0909,81.94,15.976,,,,,,
med,734,C14H20O2,220.146,95.71,9.271,,,,,,
med,858,C27H51NO,405.3959,95.64,11.767,,,,,,
med,1469,C33H66,462.516,95.63,18.133,,,,,,
med,6641,C32H63NO2,493.4851,95.34,11.871,,,,,,
med,850,C24H49NO,367.3819,94.8,17.821,,,,,,
med,790,C25H48N6O8,560.3524,94.61,7.841,,,,,,
med,6182,C3H10N3O5PS,231.0081,93.18,1.007,,,,,,
med,6252,C22H44N6O10,552.3124,93.01,4.619,,,,,,
med,7549,C32H46O7,542.3236,93.0,7.763,,,,,,
med,3078,C32H49NO7,559.3497,93.0,7.763,,,,,,
med,7739,C32H45NO6,539.3239,92.59,5.113,,,,,,
med,6998,C36H65NO15,751.4352,91.51,4.619,,,,,,
med,5185,C25H47O13P,586.2761,91.29,3.527,,,,,,
med,5423,C31H46NO13P,671.2689,91.04,4.229,,,,,,
med,6900,C69H129NO5,1051.9853,90.98,17.977,,,,,,
med,8325,C29H40O5,468.2874,90.71,7.556,,,,,,
med,860,C28H57NO,423.4425,90.07,19.874,,,,,,
med,4844,C35H59O12P,702.3732,89.56,14.054,,,,,,
med,7642,C26H43NO8,497.2969,89.49,14.547,,,,,,
med,7259,C41H75N2O6P,722.5343,89.11,14.106,,,,,,
tiny,3439,C24H41O10P,520.2425,94.34,3.501,,,,,,
tiny,1373,C18H36O6,348.2511,93.94,8.57,,,,,,
tiny,2879,C35H53NO7,599.3822,93.92,4.619,,,,,,
tiny,6961,C28H46O13,590.293,93.61,4.489,,,,,,
tiny,4918,C19H32NO11P,481.1717,93.59,3.293,,,,,,
tiny,4438,C32H53O12P,660.3244,93.57,16.03,,,,,,
tiny,4633,C32H57O14P,696.3492,90.53,4.307,,,,,,
tiny,1562,C55H106O10,926.7721,89.31,17.225,,,,,,
tiny,5328,C16H22N6O4,362.169,89.26,11.429,,,,,,
tiny,7355,C26H36O5S,460.2295,88.29,3.397,,,,,,
tiny,5441,C22H33N7O4,459.2618,87.42,7.92,,,,,,
tiny,1495,C51H94O15,946.659,86.44,18.472,,,,,,
tiny,7448,C23H31NO7S,465.1839,86.05,3.397,,,,,,
tiny,493,C6H10O4S,178.0292,85.46,13.301,,,,,,
tiny,7281,C22H38O4S,398.2496,85.33,4.099,,,,,,
tiny,973,C22H41NO4S,415.2761,85.33,4.099,,,,,,
tiny,2472,C59H87NO8,937.6428,85.18,13.405,,,,,,
tiny,2190,C26H48O9,504.3295,85.06,4.515,,,,,,
tiny,3997,C41H62NO8P,727.4242,84.65,5.737,,,,,,
tiny,60,C8H17NO,143.1305,84.53,5.763,,,,,,
