Cpd,Formula,RT,Mass,CAS_ID,Source,Score,Algorithm
3601,C16H19N3O5S,4.749,365.1046,,FBF,91.56,FBF
1637,C64H117NO10,20.107,1059.8758,,FBF,91.27,FBF
1860,C31H55NO7,5.399,553.3978,,FBF,90.28,FBF
3186,C31H48NO13P,13.611,673.2838,,FBF,89.78,FBF
3635,C7H11N5O,3.763,181.0965,,FBF,86.7,FBF
3462,C12H23N3O5S2,10.284,353.1085,,FBF,86.64,FBF
1354,C66H108O12S,18.885,1124.7582,,FBF,86.63,FBF
20,C16H18FN3O3,0.647,319.1314,,FBF,86.22,FBF
2236,C27H47O10P,4.749,562.2907,,FBF,86.09,FBF
1444,C35H59NO8,19.093,621.4269,,FBF,85.5,FBF
3593,C10H6O4,0.933,190.0273,,FBF,84.73,FBF
1736,C39H66O12,19.015,726.4574,,FBF,84.01,FBF
3474,C12H21N3O4S,0.933,303.1238,,FBF,83.77,FBF
3400,C12H24N4O4S,0.933,320.1503,,FBF,83.77,FBF
1280,C43H82O13S,19.067,838.543,,FBF,83.67,FBF
3534,C4H11NO3,0.362,121.0736,,FBF,83.41,FBF
3142,C65H108NO11P,18.989,1109.7686,,FBF,83.39,FBF
3654,C16H18O5,0.933,290.1161,,FBF,83.29,FBF
3033,C47H77O13P,18.989,880.5098,,FBF,83.11,FBF
635,C7H15NO,17.612,129.1145,,FBF,83.01,FBF
3089,C29H48NO11P,14.443,617.2966,,FBF,82.95,FBF
1144,C38H70O9,15.352,670.5003,,FBF,82.74,FBF
4444,C35H53NO11,5.113,663.3617,,FBF,82.49,FBF
1726,C35H50O11,5.113,646.3359,,FBF,82.49,FBF
574,C24H44N2O,15.95,376.3456,,FBF,82.48,FBF
2251,C32H53O9P,14.807,612.3411,,FBF,81.77,FBF
3769,C39H67NO3,18.183,597.5119,,FBF,81.31,FBF
529,C32H57NO3,17.742,503.4385,,FBF,80.54,FBF
3,C15H25NO4,10.803,283.1766,,FBF,80.38,FBF
2505,C53H82NO7P,17.976,875.5837,,FBF,80.12,FBF
