Cpd,Formula,RT,Mass,CAS_ID,Source,Score,Algorithm,Area,Area_Pct,Peak_Height
1,C22H20N2O7,7.244,424.1283,,FBF,80.84,FBF,1655591.0,1.2,404359.0
2,C16H18N2,6.621,238.1489,,FBF,59.55,FBF,,,
3,C21H23NO5,7.79,369.1593,,FBF,85.46,FBF,,,
4,C10H15NO,4.411,165.1141,,FBF,62.69,FBF,,,
5,C21H24N2O2,4.437,336.1859,,FBF,63.83,FBF,34988729.0,25.39,6894655.0
6,C18H20N2,4.281,264.1609,,FBF,61.6,FBF,65500642.0,47.53,8732868.0
7,C15H22N2O2,3.943,262.168,,FBF,59.15,FBF,,,
8,C14H8N2O,2.305,220.0624,,FBF,60.43,FBF,,,
9,C18H35NO2,6.491,297.2665,,FBF,96.14,FBF,4820751.0,3.5,758811.0
10,C8H17N,0.409,127.1362,,FBF,86.17,FBF,,,
11,C23H30N2O4,10.883,398.2224,,FBF,69.28,FBF,,,
12,C32H38N2O8,3.943,578.2618,,FBF,75.75,FBF,,,
13,C29H40N2O4,4.984,480.2961,,FBF,64.64,FBF,,,
14,C18H22N2O2,1.889,298.1693,,FBF,90.86,FBF,,,
15,C21H35N3,18.992,329.284,,FBF,55.23,FBF,,,
16,C8H15NO,3.397,141.1146,,FBF,84.16,FBF,,,
17,C9H17NO,0.383,155.1316,,FBF,87.16,FBF,3497639.0,2.54,966956.0
18,C5H13NO,0.383,103.0999,,FBF,99.77,FBF,3497639.0,2.54,966956.0
19,C11H17N2,9.506,177.1388,,FBF,75.92,FBF,,,
20,C20H33N3,11.533,315.2664,,FBF,80.48,FBF,,,
21,C18H35NO3,9.116,313.259,,FBF,58.86,FBF,,,
22,C18H23NO5,2.643,333.1557,,FBF,81.74,FBF,70324855.0,51.03,4479602.0
23,C23H25NO4,13.353,379.1815,,FBF,60.67,FBF,,,
24,C19H22FN3O4,2.591,375.1582,,FBF,72.75,FBF,,,
25,C19H22FN3O3,8.96,359.1621,,FBF,58.02,FBF,,,
26,C11H14N4O4,0.409,266.1002,,FBF,78.94,FBF,,,
27,C11H16N4O5,9.896,284.111,,FBF,54.85,FBF,,,
28,C25H20N4O2,7.244,408.1546,,FBF,67.85,FBF,1655591.0,1.2,404359.0
29,C17H20N4S,9.818,312.1381,,FBF,69.38,FBF,,,
30,C37H50N2O,19.356,538.3907,,FBF,55.81,FBF,,,
31,C10H9N,0.409,143.0731,,FBF,62.99,FBF,,,
32,C9H7N,13.223,129.0578,,FBF,87.09,FBF,,,
33,C30H49N3O,14.809,467.3869,,FBF,63.79,FBF,,,
34,C13H21NO,13.093,207.1606,,FBF,63.32,FBF,,,
35,C30H49N3O2,15.328,483.3825,,FBF,65.57,FBF,,,
36,C4H6N4O,3.813,126.0552,,FBF,76.13,FBF,,,
37,C15H15N3O,8.31,253.1224,,FBF,64.63,FBF,,,
38,C5H6N2O2,4.411,126.0425,,FBF,76.67,FBF,,,
39,C6H7N2O2,2.253,139.0503,,FBF,91.91,FBF,,,
40,C14H16N4,4.906,240.1362,,FBF,79.07,FBF,,,
41,C6H8N2O,12.391,124.0628,,FBF,72.86,FBF,,,
42,C19H21N3O,9.376,307.1662,,FBF,68.08,FBF,,,
43,C6H12N2O2,17.745,144.0889,,FBF,64.38,FBF,,,
44,C6H13NO3,0.409,147.0893,,FBF,71.55,FBF,,,
45,C8H17NO5,5.919,207.1124,,FBF,61.28,FBF,,,
46,C7H15NO4,5.503,177.1002,,FBF,69.27,FBF,,,
47,C9H17N,0.357,139.1354,,FBF,76.92,FBF,,,
48,C19H21NO3,4.307,311.1541,,FBF,63.27,FBF,,,
49,C16H26N2O2,21.642,278.1973,,FBF,53.49,FBF,,,
50,C30H42N2O2S,5.477,494.2966,,FBF,70.67,FBF,,,
51,C7H16N4O,0.435,172.1337,,FBF,89.04,FBF,,,
52,C4H12N2S2,0.435,152.0451,,FBF,55.7,FBF,,,
53,C25H31N3O4,3.293,437.2318,,FBF,87.41,FBF,,,
54,C14H30N4O2,4.671,286.2342,,FBF,69.26,FBF,21727273.0,15.77,4512959.0
55,C11H23N3O2,4.567,229.1785,,FBF,52.99,FBF,,,
56,C9H18N2O2,0.695,186.1368,,FBF,92.62,FBF,,,
57,C9H18N2O3,1.838,202.1322,,FBF,72.06,FBF,,,
58,C7H19N3,0.357,145.1578,,FBF,81.34,FBF,,,
59,C6H11NO,1.396,113.0838,,FBF,99.0,FBF,,,
60,C8H17NO,5.763,143.1305,,FBF,84.53,FBF,,,
61,C8H17NO,5.062,143.1303,,FBF,77.16,FBF,,,
62,C5H9NO,0.773,99.0681,,FBF,87.62,FBF,20426048.0,14.82,1186809.0
63,C4H8N2O,16.706,100.0637,,FBF,99.98,FBF,,,
64,C16H27NO6,7.478,329.1849,,FBF,73.02,FBF,7884266.0,5.72,2200961.0
65,C15H25NO6,10.909,315.1713,,FBF,60.82,FBF,,,
66,C15H27NO5,0.409,301.1889,,FBF,95.72,FBF,,,
67,C17H32BrNO2,10.571,361.1615,,FBF,59.98,FBF,,,
68,C7H13NO5,2.695,191.0807,,FBF,69.86,FBF,,,
69,C9H15NO3,2.695,185.1051,,FBF,85.44,FBF,,,
70,C7H13NO,2.591,127.0992,,FBF,85.5,FBF,,,
71,C13H23NO3,21.278,241.1683,,FBF,52.2,FBF,,,
72,C11H16N2O5,18.836,256.1039,,FBF,66.41,FBF,,,
73,C7H9N2O,7.764,137.0721,,FBF,77.48,FBF,,,
74,C8H11N,0.409,121.0887,,FBF,81.02,FBF,,,
75,C7H9N,0.409,107.0733,,FBF,86.55,FBF,,,
76,C6H4N2,6.777,104.0371,,FBF,56.33,FBF,,,
77,C6H5NO,0.383,107.0363,,FBF,86.07,FBF,3497639.0,2.54,966956.0
78,C7H7NO2,0.383,137.0473,,FBF,74.12,FBF,3497639.0,2.54,966956.0
79,C8H7NO3,2.643,165.0439,,FBF,65.65,FBF,70324855.0,51.03,4479602.0
80,C6H3Cl2NO2,0.331,190.9556,,FBF,62.07,FBF,,,
81,C24H40N5O8,3.735,526.2874,,FBF,79.69,FBF,,,
82,C21H29N3O,4.541,339.2335,,FBF,61.38,FBF,27697614.0,20.1,4488337.0
83,C15H17FN4O3,6.023,320.1263,,FBF,58.97,FBF,,,
84,C9H6F3N3O,0.435,229.0472,,FBF,76.67,FBF,,,
85,C10H9NO2,0.409,175.0624,,FBF,67.69,FBF,,,
86,C9H15NO2,0.695,169.1102,,FBF,92.62,FBF,,,
87,C26H37NO6,7.92,459.2616,,FBF,99.16,FBF,,,
88,C15H14N4O,7.244,266.1149,,FBF,77.66,FBF,1655591.0,1.2,404359.0
89,C8H9N3O4,0.383,211.0611,,FBF,60.19,FBF,3497639.0,2.54,966956.0
90,C6H8N,0.669,94.065,,FBF,83.93,FBF,,,
91,C9H11N3O,0.435,177.0891,,FBF,88.13,FBF,,,
92,C12H14Cl2N2,7.14,256.0537,,FBF,51.16,FBF,,,
