,Cpd,Formula,RT,Mass,CAS_ID,Source,Score,Algorithm
0,406,C16H32O,16.703,240.2452,,FBF,99.94,FBF
1,422,C14H28O,16.34,212.2141,,FBF,99.9,FBF
2,3545,C14H31NO,16.054,229.2406,,FBF,99.9,FBF
3,875,C9H16O,15.586,140.1202,,FBF,99.89,FBF
4,477,C9H19NO,15.586,157.1467,,FBF,99.89,FBF
5,258,C5H8O2,10.57,100.0523,,FBF,99.84,FBF
6,653,C6H15N,17.56,101.1206,,FBF,99.82,FBF
7,41,C4H8N2O,16.236,100.0639,,FBF,99.7,FBF
8,246,C5H11NO2,10.57,117.0788,,FBF,99.65,FBF
9,870,C6H12,17.56,84.0941,,FBF,99.61,FBF
10,3535,C16H35NO2,7.009,273.2664,,FBF,99.35,FBF
11,249,C16H32O2,7.009,256.2399,,FBF,99.35,FBF
12,3774,C34H65NO2,22.055,519.5015,,FBF,99.33,FBF
13,867,C14H28,16.859,196.2191,,FBF,99.3,FBF
14,273,C30H58O4S,20.419,514.4059,,FBF,98.96,FBF
15,656,C8H19N,16.054,129.1515,,FBF,98.93,FBF
16,3569,C8H18O5,17.82,194.1157,,FBF,98.87,FBF
17,3726,C36H69NO2,18.651,547.5326,,FBF,98.85,FBF
18,3312,C5H4N4,19.431,120.0437,,FBF,98.79,FBF
19,252,C10H18O2,12.441,170.1308,,FBF,98.69,FBF
20,3532,C18H39O7P,9.504,398.243,,FBF,98.54,FBF
21,2621,C53H82NO8P,20.081,891.5776,,FBF,98.46,FBF
22,355,C14H24O2,17.56,224.1774,,FBF,98.4,FBF
23,4237,C18H39NO,17.534,285.3032,,FBF,98.33,FBF
24,3663,C18H18O5,8.308,314.1149,,FBF,98.29,FBF
25,424,C18H36O,9.504,268.2759,,FBF,98.09,FBF
26,657,C14H31N,7.347,213.245,,FBF,97.96,FBF
27,3519,C18H15O4P,9.036,326.0705,,FBF,97.86,FBF
28,868,C13H26,7.217,182.2029,,FBF,97.56,FBF
29,658,C13H29N,7.217,199.2295,,FBF,97.56,FBF
30,3632,C9H10N4O4,2.646,238.0717,,FBF,97.41,FBF
31,3624,C11H15NO,5.607,177.1149,,FBF,97.36,FBF
32,59,C12H12N2O2,17.716,216.0902,,FBF,97.35,FBF
33,3739,C33H65NO3,12.701,523.4977,,FBF,97.24,FBF
34,3673,C20H22O5,9.582,342.1468,,FBF,96.67,FBF
35,652,C16H35N,8.308,241.2762,,FBF,96.62,FBF
36,3765,C35H63NO3,12.701,545.4797,,FBF,96.49,FBF
37,711,C23H36O4,9.504,376.2609,,FBF,96.48,FBF
38,4232,C18H39NO2,7.866,301.2973,,FBF,96.45,FBF
39,248,C18H36O2,7.866,284.2708,,FBF,96.45,FBF
40,259,C12H24O2,4.775,200.1768,,FBF,95.86,FBF
41,4149,C43H75N2O6P,20.055,746.5384,,FBF,95.64,FBF
42,369,C27H42O2,5.503,398.3186,,FBF,95.62,FBF
43,4740,C27H45NO2,5.503,415.345,,FBF,95.62,FBF
44,560,C21H42N2O3,8.23,370.3185,,FBF,95.52,FBF
45,4373,C22H29NO6,9.478,403.1987,,FBF,95.48,FBF
46,1345,C63H112O12S,18.209,1092.7865,,FBF,95.43,FBF
47,1859,C31H57NO7,5.503,555.4142,,FBF,95.01,FBF
48,676,C11H19NO4,0.466,229.1323,,FBF,94.99,FBF
49,3528,C12H11O4P,11.453,250.0401,,FBF,94.74,FBF
50,2580,C27H50NO8P,3.893,547.3272,,FBF,94.48,FBF
51,4265,C20H24O2,21.562,296.177,,FBF,94.42,FBF
52,3562,C10H22O5,19.821,222.1471,,FBF,94.39,FBF
53,4229,C16H35NO3,7.113,289.2609,,FBF,94.36,FBF
54,294,C16H32O3,7.113,272.2343,,FBF,94.36,FBF
55,3304,C24H30O6,7.944,414.2036,,FBF,94.24,FBF
56,3563,C20H42O11,3.425,458.2716,,FBF,94.09,FBF
57,3567,C16H34O9,2.646,370.2191,,FBF,94.02,FBF
58,702,C36H64N7O18P3S,19.847,1007.3247,,FBF,94.0,FBF
59,1367,C70H118O13S,20.159,1198.8231,,FBF,94.0,FBF
60,4463,C20H34O4S,13.117,370.2182,,FBF,93.85,FBF
61,3309,C5H5N5,17.171,135.0544,,FBF,93.82,FBF
62,4076,C60H107NO12S,14.911,1065.7516,,FBF,93.38,FBF
63,3476,C18H28N8O4,9.478,420.2246,,FBF,93.37,FBF
64,4187,C25H49N2O7P,3.685,520.3281,,FBF,93.34,FBF
65,2386,C25H46NO7P,3.685,503.3014,,FBF,93.34,FBF
66,4547,C21H35NO7S,4.749,445.213,,FBF,93.16,FBF
67,461,C15H31NO,10.933,241.24,,FBF,93.15,FBF
68,4264,C33H52O7,5.503,560.3696,,FBF,93.07,FBF
69,1865,C33H55NO7,5.503,577.3961,,FBF,93.07,FBF
70,3610,C7H10O6S,0.933,222.019,,FBF,92.93,FBF
71,3564,C14H30O8,2.698,326.1943,,FBF,92.92,FBF
72,686,C20H31NO6,9.504,381.2167,,FBF,92.81,FBF
73,3411,C17H34N10O5,3.425,458.2717,,FBF,92.7,FBF
74,4473,C22H38O5S,3.088,414.2456,,FBF,92.67,FBF
75,3566,C18H38O10,3.088,414.2456,,FBF,92.51,FBF
76,936,C35H52O5,14.885,552.3821,,FBF,92.48,FBF
77,455,C21H39NO3,8.23,353.2925,,FBF,92.41,FBF
78,862,C34H68,16.911,476.5314,,FBF,92.39,FBF
79,171,C12H8N2,0.933,180.0693,,FBF,92.22,FBF
80,4685,C46H75NO7S,20.081,785.5257,,FBF,92.15,FBF
81,1188,C52H80O9,22.601,848.5816,,FBF,92.04,FBF
82,103,C24H38O4,15.144,390.2777,,FBF,91.95,FBF
83,274,C22H42O4,15.144,370.3083,,FBF,91.91,FBF
84,1780,C54H84O11,20.081,908.6041,,FBF,91.87,FBF
85,1786,C57H84O11,16.574,944.5998,,FBF,91.85,FBF
86,3601,C16H19N3O5S,4.749,365.1046,,FBF,91.56,FBF
87,1518,C46H79NO10,18.989,805.5696,,FBF,91.48,FBF
88,256,C14H28O2,6.074,228.2082,,FBF,91.42,FBF
89,4114,C26H53N2O7P,18.002,536.3589,,FBF,91.28,FBF
90,1637,C64H117NO10,20.107,1059.8758,,FBF,91.27,FBF
91,4055,C46H79NO11S,22.705,853.5377,,FBF,91.22,FBF
92,4228,C18H39NO3,7.97,317.2922,,FBF,91.06,FBF
93,303,C18H36O3,7.97,300.2656,,FBF,91.06,FBF
94,463,C17H35NO,12.701,269.2723,,FBF,91.04,FBF
95,2665,C62H112NO9P,20.419,1045.8049,,FBF,90.73,FBF
96,4593,C30H53NO9S,18.002,603.3453,,FBF,90.73,FBF
97,3505,C20H28N4O5S,16.703,436.1768,,FBF,90.59,FBF
98,3865,C39H64NO6P,4.412,673.4453,,FBF,90.44,FBF
99,1008,C48H80O10,10.959,816.577,,FBF,90.42,FBF
100,1382,C70H112O12S,18.885,1176.7956,,FBF,90.4,FBF
101,1331,C57H110O13S,20.393,1034.7686,,FBF,90.38,FBF
102,1860,C31H55NO7,5.399,553.3978,,FBF,90.28,FBF
103,1538,C48H83NO10,10.959,833.6029,,FBF,90.04,FBF
104,2696,C43H82NO10P,20.055,803.5712,,FBF,89.91,FBF
105,2267,C15H25O8P,9.582,364.1283,,FBF,89.84,FBF
106,3186,C31H48NO13P,13.611,673.2838,,FBF,89.78,FBF
107,969,C60H106O15,14.911,1066.7537,,FBF,89.73,FBF
108,4406,C24H40O7,10.57,440.2755,,FBF,89.71,FBF
109,253,C20H40O2,8.828,312.3017,,FBF,89.68,FBF
110,309,C32H62O3,14.183,494.4684,,FBF,89.61,FBF
111,3874,C32H65NO3,14.235,511.495,,FBF,89.61,FBF
112,2155,C29H57O7P,18.131,548.3868,,FBF,89.6,FBF
113,6,C18H35NO2,6.49,297.2662,,FBF,89.56,FBF
114,4113,C26H53N2O6P,20.367,520.3636,,FBF,89.56,FBF
115,2423,C41H72NO7P,20.003,721.5092,,FBF,89.53,FBF
116,869,C36H72,16.236,504.5618,,FBF,89.41,FBF
117,3605,C55H74N4O5,22.601,870.5654,,FBF,89.39,FBF
118,576,C16H31NO4,9.764,301.2253,,FBF,89.34,FBF
119,4741,C50H83NO21,5.503,1033.5422,,FBF,89.21,FBF
120,1850,C28H53NO8,15.638,531.3767,,FBF,89.06,FBF
121,3275,C65H111O9P,18.002,1066.7986,,FBF,89.02,FBF
122,2371,C65H127O8P,22.159,1066.9248,,FBF,89.01,FBF
123,2101,C24H40O6,12.441,424.2804,,FBF,88.89,FBF
124,4205,C47H81N2O7P,10.959,816.5763,,FBF,88.8,FBF
125,1353,C65H110O12S,18.209,1114.7672,,FBF,88.5,FBF
126,2190,C41H69O7P,20.003,704.48,,FBF,88.44,FBF
127,743,C26H36O4,15.144,412.2601,,FBF,88.43,FBF
128,1105,C70H120O15,18.833,1200.8627,,FBF,88.39,FBF
129,2806,C47H83O12P,22.601,870.5631,,FBF,88.36,FBF
130,4765,C26H46O7,9.478,470.3233,,FBF,88.32,FBF
131,1939,C69H117NO7,21.796,1071.8818,,FBF,88.1,FBF
132,955,C59H112O15,18.002,1060.7999,,FBF,88.07,FBF
133,2547,C39H76NO9P,20.003,733.5257,,FBF,88.02,FBF
134,4684,C44H77NO7S,20.055,763.5432,,FBF,88.01,FBF
135,2842,C64H113O11P,18.002,1088.8105,,FBF,87.97,FBF
136,3172,C31H54NO13P,12.727,679.3301,,FBF,87.93,FBF
137,451,C19H35NO3,7.217,325.2607,,FBF,87.93,FBF
138,966,C61H110O15,18.002,1082.7818,,FBF,87.83,FBF
139,38,C7H19N3,0.362,145.1578,,FBF,87.75,FBF
140,120,C16H13F2N3O,0.647,301.102,,FBF,87.64,FBF
141,423,C6H8O,14.547,96.0575,,FBF,87.59,FBF
142,4514,C27H46O8S,4.308,530.2927,,FBF,87.56,FBF
143,4578,C27H49NO8S,4.308,547.3189,,FBF,87.56,FBF
144,2512,C26H52NO9P,18.028,553.3386,,FBF,87.55,FBF
145,2447,C31H58NO10P,4.256,635.3778,,FBF,87.49,FBF
146,4147,C42H73N2O6P,20.029,732.5231,,FBF,87.44,FBF
147,3602,C16H18N2O5S,9.842,350.092,,FBF,87.42,FBF
148,988,C40H76O10,11.895,716.5425,,FBF,87.41,FBF
149,245,C4H9NO2,0.388,103.0634,,FBF,87.39,FBF
150,357,C4H6O2,0.388,86.0367,,FBF,87.39,FBF
151,3129,C62H122NO10P,22.159,1071.8818,,FBF,87.35,FBF
152,1827,C68H106O11,18.209,1098.7725,,FBF,87.29,FBF
153,873,C14H26O,10.829,210.1981,,FBF,87.14,FBF
154,479,C14H29NO,10.803,227.2247,,FBF,87.12,FBF
155,738,C35H52O4,1.66,536.3859,,FBF,87.07,FBF
156,297,C14H26O3,17.326,242.1881,,FBF,86.99,FBF
157,419,C15H22O,10.622,218.1666,,FBF,86.98,FBF
158,186,C14H22N2O3,8.906,266.1649,,FBF,86.84,FBF
159,3044,C41H79O13P,20.081,810.5256,,FBF,86.77,FBF
160,4378,C24H31NO7,4.749,445.2126,,FBF,86.76,FBF
161,3635,C7H11N5O,3.763,181.0965,,FBF,86.7,FBF
162,197,C12H20O10,5.503,324.1055,,FBF,86.68,FBF
163,3934,C68H128N2O22,20.055,1324.8901,,FBF,86.67,FBF
