refmet_name,formula
Acutumidine,C18H22ClNO6
Adifoline,C22H20N2O7
Adlumine,C21H21NO6
Affinine,C20H24N2O2
Agroclavine,C16H18N2
Ajmaline,C20H26N2O2
Allocryptopine,C21H23NO5
alpha-Erythroidine,C16H19NO3
alpha-Narcotine,C22H23NO7
Alpinine,C23H29NO6
Amabiline,C15H25NO4
Amalorin,C14H8N2O2
Anabasine,C10H14N2
Anatoxin A,C10H15NO
Androcymbine,C21H25NO5
Aphylline,C15H24N2O
Apovincamine,C21H24N2O2
Apparicine,C18H20N2
Arecoline,C8H13NO2
Argyrolobine,C15H22N2O2
Bonafousine,C35H40N4O3
Bremazocine,C20H29NO2
Bufotenin,C12H16N2O
Buxamine E,C26H44N2
Cadiamine,C15H26N2O3
Canthin-6-one,C14H8N2O
Cassine,C18H35NO2
Catharine,C46H54N4O10
Cephaeline,C28H38N2O4
Chanoclavine-I,C16H20N2O
Conessine,C24H40N2
Coniine,C8H17N
Cotinine N-oxide,C10H12N2O2
Cuscohygrine,C13H24N2O
Deacetoxyvindoline,C23H30N2O4
Deacetylvindoline,C23H30N2O5
Decarbamoylgonyautoxin III,C9H16N6O7S
Deserpidine,C32H38N2O8
Dihydro-alpha-ergocryptine,C32H43N5O5
Elaeokanine C,C12H21NO2
Emetine,C29H40N2O4
Epibatidine,C11H13ClN2
Ethylketocyclazocine,C19H25NO2
Fumigaclavine A,C18H22N2O2
Geissoschizine,C21H24N2O3
Gelsemicine,C20H26N2O4
Homoormosanine,C21H35N3
Hygrine,C8H15NO
Jervine,C27H39NO3
Metazocine,C15H21NO
Methylisopelletierine,C9H17NO
Neurine,C5H13NO
N-Methylnicotinium,C11H17N2
Ormosanine,C20H35N3
Oxymatrine,C15H24N2O2
Panamine,C20H33N3
Peimine,C27H45NO3
Peiminine,C27H43NO3
Pilocarpine,C11H16N2O2
Prosopinine,C18H35NO3
Protopine,C20H19NO5
Protoveratrine A,C41H63NO14
Protoveratrine B,C41H63NO15
Protoverine,C27H43NO9
Rescinnamine,C35H42N2O9
Reserpine,C33H40N2O9
Samandarine,C19H31NO2
Saxitoxin,C10H17N7O4
Seneciphylline,C18H23NO5
Solacapine,C27H48N2O2
Solanocapsine,C27H46N2O2
Sparteine,C15H26N2
Tropinone,C8H13NO
Uplandicine,C17H27NO7
Veratridine,C36H51NO11
Vinblastine,C46H58N4O9
Voacamine,C43H52N4O5
Zygadenine,C27H43NO7
2-Aminoacridone,C13H10N2O
3-Hydroxykynurenic acid,C10H7NO4
4-Quinolinecarboxylic acid,C10H7NO2
8-Methoxykynurenic acid,C11H9NO4
Acronycine,C20H19NO3
Arborinine,C16H15NO4
Atalanine,C34H30N2O9
Atalaphylline,C23H25NO4
Buntanine,C20H21NO5
Ciprofloxacin,C17H18FN3O3
Evoxanthidine,C15H11NO4
Gatifloxacin,C19H22FN3O4
Grepafloxacin,C19H22FN3O3
Kynurenic acid,C10H7NO3
Lomefloxacin hydrochloride,C17H20ClF2N3O3
Melicopine,C17H15NO5
Moxifloxacin,C21H24FN3O4
Norfloxacin,C16H18FN3O3
Ofloxacin,C18H20FN3O4
Quinmerac,C11H8ClNO2
Rufloxacin,C17H18FN3O3S
Rutacridone,C19H17NO3
Sparfloxacin,C19H22F2N4O3
7-Acetamidonitrazepam,C17H15N3O2
7-Aminoclonazepam,C15H12ClN3O
7-Aminonitrazepam,C15H13N3O
8-Oxodeoxycoformycin,C11H14N4O4
alpha-Hydroxytriazolam,C17H12Cl2N4O
Alprazolam,C17H13ClN4
Clorazepate,C16H11ClN2O3
Coformycin,C11H16N4O5
Devazepide,C25H20N4O2
Diazepam,C16H13ClN2O
Estazolam,C16H11ClN4
Flumazenil,C15H14FN3O3
Lorazepam,C15H10Cl2N2O2
Midazolam,C18H13ClFN3
Nitrazepam,C15H11N3O3
Nordazepam,C15H11ClN2O
Norflurazepam,C15H10ClFN2O
Olanzapine,C17H20N4S
Oxazepam,C15H11ClN2O2
Prazepam,C19H17ClN2O
Temazepam,C16H13ClN2O2
Tifluadom,C22H20FN3OS
Clofazimine,C27H22Cl2N4
Dihydromethanophenazine,C37H52N2O
Methanophenazine,C37H50N2O
Saphenic acid methyl ester,C16H14N2O3
"4,6-Dihydroxyquinoline",C9H7NO2
4-(Hydroxyamino)quinoline N-oxide,C9H8N2O2
6-Methoxyquinoline,C10H9NO
6-Methylquinoline,C10H9N
Altanserin,C22H22FN3O2S
Aniflorine,C20H21N3O3
Deoxyvasicinone,C11H10N2O
Dibucaine,C20H29N3O2
Dictyoquinazol C,C18H18N2O5
Dubamine,C16H11NO2
Febrifugine,C16H19N3O3
Ketanserin,C22H22FN3O3
Mefloquine,C17H16F6N2O
Quinoline,C9H7N
2-Heptyl-4-quinolone,C16H21NO
Heteratisine,C22H33NO5
Lucidine B,C30H49N3O
Luciduline,C13H21NO
Melochinone,C22H21NO2
Oxolucidine B,C30H49N3O2
Phlegmarine,C16H30N2
1-Carboxymethylmetronidazole,C6H7N3O4
1-Methyl-5-imidazoleacetic acid,C6H8N2O2
1-Methyl-5-imidazolelactate,C7H10N2O3
1-Methylhistamine,C6H11N3
3-Imidazol-1-yl-2-oxopropanoic acid,C6H6N2O3
4-Imidazolone-5-propionic acid,C6H8N2O3
4-Methylburimamide,C10H18N4S
4-Methylimidazole,C4H6N2
5-Aminoimidazole,C3H5N3
5-Aminoimidazole-4-carboxamide,C4H6N4O
Anantine,C15H15N3O
Cimetidine,C10H16N6S
Etomidate,C14H16N2O2
Histamine,C5H9N3
Imetit,C6H10N4S
Imidazole,C3H4N2
Imidazole-4-acetaldehyde,C5H6N2O
Imidazole-4-methanol,C4H6N2O
Imidazoleacetic acid,C5H6N2O2
Imidazole propanoate,C6H7N2O2
Imiquimod,C14H16N4
Levamisole,C11H12N2S
Methylimidazole acetaldehyde,C6H8N2O
Metiamide,C9H16N4S2
Metronidazole,C6H9N3O3
