Cpd,Formula,RT,Mass,CAS_ID,Source,Score,Algorithm
265,C18H30O2,8.804,278.2243,,FBF,94.49,FBF
3744,C17H13NO3,5.037,279.0898,,FBF,89.54,FBF
3757,C18H14O4,3.764,294.0878,,FBF,88.82,FBF
1582,C44H78O11,15.015,782.5578,,FBF,88.68,FBF
2035,C36H68O6,15.82,596.5016,,FBF,88.3,FBF
3358,C6H9NO3,12.729,143.0579,,FBF,87.2,FBF
2393,C46H86NO8P,14.678,811.6097,,FBF,86.55,FBF
2846,C42H70O15P2,14.366,876.4194,,FBF,85.79,FBF
1316,C31H46O12S,12.651,642.2723,,FBF,85.63,FBF
483,C24H38N2O,18.416,370.2971,,FBF,85.18,FBF
4086,C37H75NO3,16.261,581.5771,,FBF,84.87,FBF
521,C20H37NO2,10.312,323.2816,,FBF,84.69,FBF
3873,C44H81NO5,22.909,703.6133,,FBF,84.35,FBF
27,C16H19NO4,16.52,289.1328,,FBF,84.22,FBF
3412,C5H10N2O4,8.232,162.0636,,FBF,84.2,FBF
5015,C47H72O2,19.117,668.5536,,FBF,83.4,FBF
32,C6H5NO2,13.093,123.0321,,FBF,83.1,FBF
4874,C34H49NO10,22.883,631.3353,,FBF,82.3,FBF
375,C15H28N2O4,7.998,300.2051,,FBF,81.98,FBF
3344,C12H15N4O2S,15.976,279.0909,,FBF,81.94,FBF
3647,C4H10N2O,6.829,102.0789,,FBF,81.87,FBF
4721,C21H36O,18.702,304.2774,,FBF,81.76,FBF
957,C32H64O4,21.325,512.4805,,FBF,81.62,FBF
407,C22H41N3O,22.078,363.3276,,FBF,81.48,FBF
374,C15H28N2O4,17.402,300.2044,,FBF,81.32,FBF
3219,C17H29O7P,10.182,376.1654,,FBF,81.15,FBF
3474,C11H17N3O8S,4.18,351.073,,FBF,80.99,FBF
1173,C51H100O9,15.586,856.7339,,FBF,80.77,FBF
3650,C15H15NO3,2.362,257.1069,,FBF,80.65,FBF
2642,C36H61O12P,14.756,716.3875,,FBF,80.47,FBF
