Cpd,Formula,RT,Mass,CAS_ID,Source,Score,Algorithm
734,C14H20O2,9.271,220.146,,FBF,95.71,FBF
858,C27H51NO,11.767,405.3959,,FBF,95.64,FBF
1469,C33H66,18.133,462.516,,FBF,95.63,FBF
6641,C32H63NO2,11.871,493.4851,,FBF,95.34,FBF
850,C24H49NO,17.821,367.3819,,FBF,94.8,FBF
790,C25H48N6O8,7.841,560.3524,,FBF,94.61,FBF
6182,C3H10N3O5PS,1.007,231.0081,,FBF,93.18,FBF
6252,C22H44N6O10,4.619,552.3124,,FBF,93.01,FBF
7549,C32H46O7,7.763,542.3236,,FBF,93.0,FBF
3078,C32H49NO7,7.763,559.3497,,FBF,93.0,FBF
7739,C32H45NO6,5.113,539.3239,,FBF,92.59,FBF
6998,C36H65NO15,4.619,751.4352,,FBF,91.51,FBF
5185,C25H47O13P,3.527,586.2761,,FBF,91.29,FBF
5423,C31H46NO13P,4.229,671.2689,,FBF,91.04,FBF
6900,C69H129NO5,17.977,1051.9853,,FBF,90.98,FBF
8325,C29H40O5,7.556,468.2874,,FBF,90.71,FBF
860,C28H57NO,19.874,423.4425,,FBF,90.07,FBF
4844,C35H59O12P,14.054,702.3732,,FBF,89.56,FBF
7642,C26H43NO8,14.547,497.2969,,FBF,89.49,FBF
7259,C41H75N2O6P,14.106,722.5343,,FBF,89.11,FBF
5874,C12H19N5O5,9.869,313.1416,,FBF,88.69,FBF
6411,C9H16N4OS,7.893,228.1038,,FBF,88.19,FBF
1091,C24H41NO4,13.352,407.3033,,FBF,88.14,FBF
2651,C53H79NO10,11.377,889.5719,,FBF,88.09,FBF
1070,C8H15NO4,5.919,189.1005,,FBF,87.72,FBF
1812,C48H90O14,20.108,890.6331,,FBF,87.65,FBF
3071,C30H51NO7,7.763,537.3686,,FBF,87.6,FBF
1471,C10H22,9.427,142.1724,,FBF,87.19,FBF
7892,C23H36O7S,8.933,456.2211,,FBF,87.08,FBF
7810,C18H22O9S,6.776,414.0988,,FBF,86.94,FBF
