,Cpd,Formula,RT,Mass,CAS_ID,Source,Score,Algorithm,RunName
0,3601,C16H19N3O5S,4.749,365.1046,,FBF,91.56,FBF,bigmed
1,1637,C64H117NO10,20.107,1059.8758,,FBF,91.27,FBF,bigmed
2,1860,C31H55NO7,5.399,553.3978,,FBF,90.28,FBF,bigmed
3,3186,C31H48NO13P,13.611,673.2838,,FBF,89.78,FBF,bigmed
4,3635,C7H11N5O,3.763,181.0965,,FBF,86.7,FBF,bigmed
5,3462,C12H23N3O5S2,10.284,353.1085,,FBF,86.64,FBF,bigmed
6,1354,C66H108O12S,18.885,1124.7582,,FBF,86.63,FBF,bigmed
7,20,C16H18FN3O3,0.647,319.1314,,FBF,86.22,FBF,bigmed
8,2236,C27H47O10P,4.749,562.2907,,FBF,86.09,FBF,bigmed
9,1444,C35H59NO8,19.093,621.4269,,FBF,85.5,FBF,bigmed
10,3593,C10H6O4,0.933,190.0273,,FBF,84.73,FBF,bigmed
11,1736,C39H66O12,19.015,726.4574,,FBF,84.01,FBF,bigmed
12,3474,C12H21N3O4S,0.933,303.1238,,FBF,83.77,FBF,bigmed
13,3400,C12H24N4O4S,0.933,320.1503,,FBF,83.77,FBF,bigmed
14,1280,C43H82O13S,19.067,838.543,,FBF,83.67,FBF,bigmed
15,3534,C4H11NO3,0.362,121.0736,,FBF,83.41,FBF,bigmed
16,3142,C65H108NO11P,18.989,1109.7686,,FBF,83.39,FBF,bigmed
17,3654,C16H18O5,0.933,290.1161,,FBF,83.29,FBF,bigmed
18,3033,C47H77O13P,18.989,880.5098,,FBF,83.11,FBF,bigmed
19,635,C7H15NO,17.612,129.1145,,FBF,83.01,FBF,bigmed
20,3089,C29H48NO11P,14.443,617.2966,,FBF,82.95,FBF,bigmed
21,1144,C38H70O9,15.352,670.5003,,FBF,82.74,FBF,bigmed
22,4444,C35H53NO11,5.113,663.3617,,FBF,82.49,FBF,bigmed
23,1726,C35H50O11,5.113,646.3359,,FBF,82.49,FBF,bigmed
24,574,C24H44N2O,15.95,376.3456,,FBF,82.48,FBF,bigmed
25,2251,C32H53O9P,14.807,612.3411,,FBF,81.77,FBF,bigmed
26,3769,C39H67NO3,18.183,597.5119,,FBF,81.31,FBF,bigmed
27,529,C32H57NO3,17.742,503.4385,,FBF,80.54,FBF,bigmed
28,3,C15H25NO4,10.803,283.1766,,FBF,80.38,FBF,bigmed
29,2505,C53H82NO7P,17.976,875.5837,,FBF,80.12,FBF,bigmed
30,778,C44H80O4,16.34,672.6061,,FBF,80.01,FBF,bigmed
31,3588,C19H30O5,18.443,338.2103,,FBF,79.68,FBF,bigmed
32,4030,C30H59NO11S,5.113,641.3817,,FBF,79.53,FBF,bigmed
33,3122,C59H92NO11P,14.625,1021.6439,,FBF,79.38,FBF,bigmed
34,85,C7H6O3,12.649,138.0316,,FBF,79.36,FBF,bigmed
35,3480,C16H28N6O5,21.172,384.2128,,FBF,79.19,FBF,bigmed
36,4179,C21H45N2O6P,22.627,452.3035,,FBF,79.15,FBF,bigmed
37,3908,C58H111NO6,22.731,917.8424,,FBF,79.01,FBF,bigmed
38,1866,C33H53NO7,5.399,575.3797,,FBF,79.01,FBF,bigmed
39,156,C14H17F3N2O3,22.055,318.1201,,FBF,78.71,FBF,bigmed
40,2407,C24H50NO6P,19.119,479.3359,,FBF,78.69,FBF,bigmed
41,534,C22H33NO3,15.04,359.2466,,FBF,78.54,FBF,bigmed
42,1752,C46H72O12,18.08,816.5049,,FBF,78.48,FBF,bigmed
43,3175,C24H42NO12P,4.749,567.2462,,FBF,78.38,FBF,bigmed
44,473,C25H41NO,20.185,371.3177,,FBF,78.24,FBF,bigmed
45,3631,C6H4N4O2,4.594,164.0345,,FBF,78.23,FBF,bigmed
46,4682,C41H65NO7S,5.139,715.4488,,FBF,78.22,FBF,bigmed
47,3923,C52H105NO4,14.495,807.8061,,FBF,77.87,FBF,bigmed
48,3520,C9H12O7S,0.907,264.0302,,FBF,77.74,FBF,bigmed
49,3998,C48H89NO18,14.261,967.6082,,FBF,77.16,FBF,bigmed
50,265,C18H30O2,8.804,278.2243,,FBF,94.49,FBF,large
51,3744,C17H13NO3,5.037,279.0898,,FBF,89.54,FBF,large
52,3757,C18H14O4,3.764,294.0878,,FBF,88.82,FBF,large
53,1582,C44H78O11,15.015,782.5578,,FBF,88.68,FBF,large
54,2035,C36H68O6,15.82,596.5016,,FBF,88.3,FBF,large
55,3358,C6H9NO3,12.729,143.0579,,FBF,87.2,FBF,large
56,2393,C46H86NO8P,14.678,811.6097,,FBF,86.55,FBF,large
57,2846,C42H70O15P2,14.366,876.4194,,FBF,85.79,FBF,large
58,1316,C31H46O12S,12.651,642.2723,,FBF,85.63,FBF,large
59,483,C24H38N2O,18.416,370.2971,,FBF,85.18,FBF,large
60,4086,C37H75NO3,16.261,581.5771,,FBF,84.87,FBF,large
61,521,C20H37NO2,10.312,323.2816,,FBF,84.69,FBF,large
62,3873,C44H81NO5,22.909,703.6133,,FBF,84.35,FBF,large
63,27,C16H19NO4,16.52,289.1328,,FBF,84.22,FBF,large
64,3412,C5H10N2O4,8.232,162.0636,,FBF,84.2,FBF,large
65,5015,C47H72O2,19.117,668.5536,,FBF,83.4,FBF,large
66,32,C6H5NO2,13.093,123.0321,,FBF,83.1,FBF,large
67,4874,C34H49NO10,22.883,631.3353,,FBF,82.3,FBF,large
68,375,C15H28N2O4,7.998,300.2051,,FBF,81.98,FBF,large
69,3344,C12H15N4O2S,15.976,279.0909,,FBF,81.94,FBF,large
70,3647,C4H10N2O,6.829,102.0789,,FBF,81.87,FBF,large
71,4721,C21H36O,18.702,304.2774,,FBF,81.76,FBF,large
72,957,C32H64O4,21.325,512.4805,,FBF,81.62,FBF,large
73,407,C22H41N3O,22.078,363.3276,,FBF,81.48,FBF,large
74,374,C15H28N2O4,17.402,300.2044,,FBF,81.32,FBF,large
75,3219,C17H29O7P,10.182,376.1654,,FBF,81.15,FBF,large
76,3474,C11H17N3O8S,4.18,351.073,,FBF,80.99,FBF,large
77,1173,C51H100O9,15.586,856.7339,,FBF,80.77,FBF,large
78,3650,C15H15NO3,2.362,257.1069,,FBF,80.65,FBF,large
79,2642,C36H61O12P,14.756,716.3875,,FBF,80.47,FBF,large
80,4797,C31H55NO9,14.028,585.3883,,FBF,80.43,FBF,large
81,3374,C7H15NO2,13.899,145.1095,,FBF,80.22,FBF,large
82,264,C18H30O2,9.168,278.2236,,FBF,80.15,FBF,large
83,28,C16H19NO4,6.465,289.1315,,FBF,79.43,FBF,large
84,5202,C22H30O7,7.27,406.1999,,FBF,79.35,FBF,large
85,2592,C51H90NO8P,16.728,875.6462,,FBF,79.3,FBF,large
86,3124,C29H52NO12P,14.366,637.3188,,FBF,79.27,FBF,large
87,422,C24H43NO3,17.662,393.3259,,FBF,79.22,FBF,large
88,318,C23H41NO,21.091,347.3172,,FBF,79.11,FBF,large
89,527,C19H31NO2,19.818,305.2355,,FBF,78.89,FBF,large
90,3722,C17H18N2O6,8.024,346.1167,,FBF,78.62,FBF,large
91,529,C20H33NO2,8.466,319.2483,,FBF,78.5,FBF,large
92,4970,C22H37NO10S,13.197,507.2161,,FBF,78.41,FBF,large
93,1914,C63H110O5,19.039,946.8337,,FBF,78.39,FBF,large
94,1554,C77H131NO9,21.792,1213.9817,,FBF,78.34,FBF,large
95,2680,C70H129O11P,19.299,1176.9223,,FBF,77.84,FBF,large
96,717,C46H72O4,21.974,688.5427,,FBF,77.8,FBF,large
97,3928,C56H109NO3,14.314,843.841,,FBF,77.7,FBF,large
98,4875,C34H45NO12,14.366,659.3003,,FBF,77.67,FBF,large
99,4865,C33H45NO8,22.259,583.3139,,FBF,77.47,FBF,large
100,734,C14H20O2,9.271,220.146,,FBF,95.71,FBF,med
101,858,C27H51NO,11.767,405.3959,,FBF,95.64,FBF,med
102,1469,C33H66,18.133,462.516,,FBF,95.63,FBF,med
103,6641,C32H63NO2,11.871,493.4851,,FBF,95.34,FBF,med
104,850,C24H49NO,17.821,367.3819,,FBF,94.8,FBF,med
105,790,C25H48N6O8,7.841,560.3524,,FBF,94.61,FBF,med
106,6182,C3H10N3O5PS,1.007,231.0081,,FBF,93.18,FBF,med
107,6252,C22H44N6O10,4.619,552.3124,,FBF,93.01,FBF,med
108,7549,C32H46O7,7.763,542.3236,,FBF,93.0,FBF,med
109,3078,C32H49NO7,7.763,559.3497,,FBF,93.0,FBF,med
110,7739,C32H45NO6,5.113,539.3239,,FBF,92.59,FBF,med
111,6998,C36H65NO15,4.619,751.4352,,FBF,91.51,FBF,med
112,5185,C25H47O13P,3.527,586.2761,,FBF,91.29,FBF,med
113,5423,C31H46NO13P,4.229,671.2689,,FBF,91.04,FBF,med
114,6900,C69H129NO5,17.977,1051.9853,,FBF,90.98,FBF,med
115,8325,C29H40O5,7.556,468.2874,,FBF,90.71,FBF,med
116,860,C28H57NO,19.874,423.4425,,FBF,90.07,FBF,med
117,4844,C35H59O12P,14.054,702.3732,,FBF,89.56,FBF,med
118,7642,C26H43NO8,14.547,497.2969,,FBF,89.49,FBF,med
119,7259,C41H75N2O6P,14.106,722.5343,,FBF,89.11,FBF,med
120,5874,C12H19N5O5,9.869,313.1416,,FBF,88.69,FBF,med
121,6411,C9H16N4OS,7.893,228.1038,,FBF,88.19,FBF,med
122,1091,C24H41NO4,13.352,407.3033,,FBF,88.14,FBF,med
123,2651,C53H79NO10,11.377,889.5719,,FBF,88.09,FBF,med
124,1070,C8H15NO4,5.919,189.1005,,FBF,87.72,FBF,med
125,1812,C48H90O14,20.108,890.6331,,FBF,87.65,FBF,med
126,3071,C30H51NO7,7.763,537.3686,,FBF,87.6,FBF,med
127,1471,C10H22,9.427,142.1724,,FBF,87.19,FBF,med
128,7892,C23H36O7S,8.933,456.2211,,FBF,87.08,FBF,med
129,7810,C18H22O9S,6.776,414.0988,,FBF,86.94,FBF,med
130,7585,C35H48O8,4.749,596.3369,,FBF,86.88,FBF,med
131,6567,C36H46N2O10,4.229,666.3135,,FBF,86.72,FBF,med
132,2988,C59H94O12,21.979,994.678,,FBF,86.72,FBF,med
133,4899,C48H79O13P,11.351,894.526,,FBF,86.69,FBF,med
134,4775,C40H71O9P,16.262,726.4849,,FBF,86.37,FBF,med
135,4966,C67H106O16P2,5.269,1228.694,,FBF,85.99,FBF,med
136,180,C13H17NO,8.985,203.131,,FBF,85.95,FBF,med
137,5773,C7H10N2O2,10.909,154.0744,,FBF,85.86,FBF,med
138,6310,C19H12F3N3O3S,6.776,419.0544,,FBF,85.83,FBF,med
139,7463,C22H30O5,9.609,374.2095,,FBF,85.78,FBF,med
140,1161,C28H51NO2,11.507,433.389,,FBF,85.58,FBF,med
141,844,C21H43NO,15.431,325.3321,,FBF,85.56,FBF,med
142,1170,C6H12N2O3,0.436,160.0858,,FBF,85.48,FBF,med
143,5034,C31H58O15P2,4.229,732.3237,,FBF,85.37,FBF,med
144,4908,C20H33O10P,8.829,464.1816,,FBF,85.36,FBF,med
