,Formula,Num_Runs,Run_Names,Avg_Score
15289,C9H17N3O5S,13,"large, large, large, large, large, large, large, large, large, large, large, large, tiny",74.27076923076923
6012,C35H52O4,9,"bigmed, large, large, large, large, large, large, med, tiny",85.70777777777778
7376,C40H64O6,8,"bigmed, large, large, large, large, large, med, tiny",74.0475
4295,C28H57O7P,8,"bigmed, large, large, large, large, large, med, tiny",72.43125
6092,C35H58O5,8,"bigmed, large, large, large, large, large, med, tiny",75.74125000000001
10179,C4H6O2,8,"bigmed, large, large, large, large, large, med, tiny",81.42375
856,C15H22O,8,"bigmed, large, large, large, large, large, med, tiny",77.43625
5917,C34H65NO2,8,"bigmed, large, large, large, large, large, med, tiny",98.775
12973,C62H122NO10P,7,"bigmed, large, large, large, large, med, tiny",76.68714285714285
2928,C24H36O5,7,"bigmed, large, large, large, large, med, tiny",66.55285714285715
6207,C35H67O9P,7,"bigmed, large, large, large, large, med, tiny",69.96285714285715
7734,C41H73O7P,7,"bigmed, large, large, large, large, med, tiny",67.79428571428572
3681,C26H53N2O6P,7,"bigmed, large, large, large, large, med, tiny",79.1557142857143
6466,C36H69NO9,7,"bigmed, large, large, large, large, med, tiny",68.57857142857144
5002,C31H52N2O6,7,"bigmed, large, large, large, large, med, tiny",72.11571428571429
7587,C41H58O6,7,"bigmed, large, large, large, large, med, tiny",75.73428571428572
5545,C33H54O4,7,"bigmed, large, large, large, large, med, tiny",72.39428571428572
15126,C8H14O4,7,"bigmed, large, large, large, large, med, tiny",74.94714285714285
5932,C34H66NO9P,7,"bigmed, large, large, large, large, med, tiny",77.26285714285714
15281,C9H16O,7,"bigmed, large, large, large, large, med, tiny",97.89428571428572
4715,C30H49NO7,7,"bigmed, large, large, large, large, med, tiny",64.23285714285714
4758,C30H52N2O6,7,"bigmed, large, large, large, large, med, tiny",62.395714285714284
7820,C41H79O13P,7,"bigmed, large, large, large, large, med, tiny",74.56714285714285
