Formula,Runs,Avg_Mass,Avg_RT,Avg_Score,Occurrence_Count,Run_Names,Num_Runs
C9H17N3O5S,"['large', 'large', 'large', 'large', 'large', 'large', 'large', 'large', 'large', 'large', 'large', 'large', 'tiny']",279.0894307692308,12.797153846153845,74.27076923076923,13,"large, large, large, large, large, large, large, large, large, large, large, large, tiny",13
C35H52O4,"['bigmed', 'large', 'large', 'large', 'large', 'large', 'large', 'med', 'tiny']",536.3871444444444,15.062777777777777,85.70777777777778,9,"bigmed, large, large, large, large, large, large, med, tiny",9
C40H64O6,"['bigmed', 'large', 'large', 'large', 'large', 'large', 'med', 'tiny']",640.4677375,16.5565,74.0475,8,"bigmed, large, large, large, large, large, med, tiny",8
C28H57O7P,"['bigmed', 'large', 'large', 'large', 'large', 'large', 'med', 'tiny']",536.3872625,17.8715,72.43125,8,"bigmed, large, large, large, large, large, med, tiny",8
C35H58O5,"['bigmed', 'large', 'large', 'large', 'large', 'large', 'med', 'tiny']",558.432275,17.36525,75.74125000000001,8,"bigmed, large, large, large, large, large, med, tiny",8
C4H6O2,"['bigmed', 'large', 'large', 'large', 'large', 'large', 'med', 'tiny']",86.036675,6.377625,81.42375,8,"bigmed, large, large, large, large, large, med, tiny",8
C15H22O,"['bigmed', 'large', 'large', 'large', 'large', 'large', 'med', 'tiny']",218.1673875,13.472875,77.43625,8,"bigmed, large, large, large, large, large, med, tiny",8
C34H65NO2,"['bigmed', 'large', 'large', 'large', 'large', 'large', 'med', 'tiny']",519.5017875,20.2355,98.775,8,"bigmed, large, large, large, large, large, med, tiny",8
C62H122NO10P,"['bigmed', 'large', 'large', 'large', 'large', 'med', 'tiny']",1071.8811428571428,20.495571428571427,76.68714285714285,7,"bigmed, large, large, large, large, med, tiny",7
C24H36O5,"['bigmed', 'large', 'large', 'large', 'large', 'med', 'tiny']",404.25627142857144,16.038285714285713,66.55285714285715,7,"bigmed, large, large, large, large, med, tiny",7
C35H67O9P,"['bigmed', 'large', 'large', 'large', 'large', 'med', 'tiny']",662.4472571428571,18.629142857142856,69.96285714285715,7,"bigmed, large, large, large, large, med, tiny",7
