Cpd,Formula,RT,Mass,CAS_ID,Source,Score,Algorithm
3439,C24H41O10P,3.501,520.2425,,FBF,94.34,FBF
1373,C18H36O6,8.57,348.2511,,FBF,93.94,FBF
2879,C35H53NO7,4.619,599.3822,,FBF,93.92,FBF
6961,C28H46O13,4.489,590.293,,FBF,93.61,FBF
4918,C19H32NO11P,3.293,481.1717,,FBF,93.59,FBF
4438,C32H53O12P,16.03,660.3244,,FBF,93.57,FBF
4633,C32H57O14P,4.307,696.3492,,FBF,90.53,FBF
1562,C55H106O10,17.225,926.7721,,FBF,89.31,FBF
5328,C16H22N6O4,11.429,362.169,,FBF,89.26,FBF
7355,C26H36O5S,3.397,460.2295,,FBF,88.29,FBF
5441,C22H33N7O4,7.92,459.2618,,FBF,87.42,FBF
1495,C51H94O15,18.472,946.659,,FBF,86.44,FBF
7448,C23H31NO7S,3.397,465.1839,,FBF,86.05,FBF
493,C6H10O4S,13.301,178.0292,,FBF,85.46,FBF
7281,C22H38O4S,4.099,398.2496,,FBF,85.33,FBF
973,C22H41NO4S,4.099,415.2761,,FBF,85.33,FBF
2472,C59H87NO8,13.405,937.6428,,FBF,85.18,FBF
2190,C26H48O9,4.515,504.3295,,FBF,85.06,FBF
3997,C41H62NO8P,5.737,727.4242,,FBF,84.65,FBF
60,C8H17NO,5.763,143.1305,,FBF,84.53,FBF
1138,C33H54N7O17P3S,19.85,945.2521,,FBF,84.49,FBF
1051,C8H15NOS2,9.844,205.0606,,FBF,84.17,FBF
16,C8H15NO,3.397,141.1146,,FBF,84.16,FBF
4548,C35H69O18P3,13.899,870.3705,,FBF,84.03,FBF
5535,C20H29N5O4S,3.085,435.1934,,FBF,83.85,FBF
3751,C32H56NO8P,5.322,613.3758,,FBF,83.47,FBF
1061,C4H12N2,21.148,88.1007,,FBF,83.17,FBF
650,C5H6O2,0.409,98.0363,,FBF,83.16,FBF
6187,C38H73NO5,18.291,623.5478,,FBF,82.84,FBF
7340,C26H46O6S,4.515,486.3001,,FBF,82.65,FBF
