index,Cpd,Formula,RT,Mass,CAS_ID,Source,Score,Algorithm,Source_Key,Common_names
3598,3601,C16H19N3O5S,4.749,365.1046,,FBF,91.56,FBF,bigmed,"['(2S,5R,6R)-6-[[(2R)-2-amino-2-(4-hydroxyphenyl)acetyl]amino]-3,3-dimethyl-7-oxo-4-thia-1-azabicyclo[3.2.0]heptane-2-carboxylic acid', '(6R,7R)-7-[[(2R)-2-amino-2-cyclohexa-1,4-dien-1-ylacetyl]amino]-3-methoxy-8-oxo-5-thia-1-azabicyclo[4.2.0]oct-2-ene-2-carboxylic acid', '(6R,7R)-7-[[(2R)-2-amino-2-phenylacetyl]amino]-3-methyl-8-oxo-5-thia-1-azabicyclo[4.2.0]oct-2-ene-2-carboxylic acid;hydrate', '3-[[4-(diethylamino)-2-hydroxyphenyl]diazenyl]-4-hydroxybenzenesulfonic acid', '(2S,5R,6R)-6-[[(2S)-2-amino-2-(4-hydroxyphenyl)acetyl]amino]-3,3-dimethyl-7-oxo-4-thia-1-azabicyclo[3.2.0]heptane-2-carboxylic acid']"
1635,1637,C64H117NO10,20.107,1059.8758,,FBF,91.27,FBF,bigmed,"['[4,5-dihydroxy-2-[(E)-3-hydroxy-2-[[(13Z,16Z)-2-hydroxydocosa-13,16-dienoyl]amino]hexadec-4-enoxy]-6-(hydroxymethyl)oxan-3-yl] (E)-icos-11-enoate', '[4,5-dihydroxy-2-[(E)-3-hydroxy-2-(2-hydroxytetradecanoylamino)octadec-4-enoxy]-6-(hydroxymethyl)oxan-3-yl] (14Z,17Z,20Z)-hexacosa-14,17,20-trienoate', '[4,5-dihydroxy-2-[(E)-3-hydroxy-2-[[(14Z,17Z,20Z)-2-hydroxyhexacosa-14,17,20-trienoyl]amino]hexadec-4-enoxy]-6-(hydroxymethyl)oxan-3-yl] hexadecanoate', '[4,5-dihydroxy-2-[(E)-3-hydroxy-2-[[(8Z,11Z,14Z)-2-hydroxyicosa-8,11,14-trienoyl]amino]octadec-4-enoxy]-6-(hydroxymethyl)oxan-3-yl] icosanoate', '(15Z,18Z)-N-[(8E,12E,16E)-3,4-dihydroxy-1-[3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxyoctacosa-8,12,16-trien-2-yl]-2-hydroxytriaconta-15,18-dienamide']"
1858,1860,C31H55NO7,5.399,553.3978,,FBF,90.28,FBF,bigmed,"['(3R,5R)-7-[(1S,2S,6S,8S,8aR)-6-hydroxy-2-methyl-8-[(2S)-2-methylbutanoyl]oxy-1,2,6,7,8,8a-hexahydronaphthalen-1-yl]-3,5-dihydroxyheptanoic acid;2,4,4-trimethylpentan-2-amine', '4-[3-butanoyloxy-2-[(9Z,12Z)-heptadeca-9,12-dienoyl]oxypropoxy]-2-(trimethylazaniumyl)butanoate', '4-[2-[(9Z,12Z)-octadeca-9,12-dienoyl]oxy-3-propanoyloxypropoxy]-2-(trimethylazaniumyl)butanoate', '4-[2-[(9Z,12Z)-hexadeca-9,12-dienoyl]oxy-3-pentanoyloxypropoxy]-2-(trimethylazaniumyl)butanoate', '4-[3-acetyloxy-2-[(9Z,12Z)-nonadeca-9,12-dienoyl]oxypropoxy]-2-(trimethylazaniumyl)butanoate']"
3184,3186,C31H48NO13P,13.611,673.2838,,FBF,89.78,FBF,bigmed,[]
3632,3635,C7H11N5O,3.763,181.0965,,FBF,86.7,FBF,bigmed,"['2-amino-6-methyl-5,6,7,8-tetrahydro-3H-pteridin-4-one', '4-morpholin-4-yl-1,3,5-triazin-2-amine', ""N'-(2-amino-6-methylpyrimidin-4-yl)acetohydrazide"", '1-(4,6-diamino-1,3,5-triazin-2-yl)-2-methylpropan-1-one', '2-(4-amino-3a,7a-dihydropyrazolo[3,4-d]pyrimidin-1-yl)ethanol']"
3460,3462,C12H23N3O5S2,10.284,353.1085,,FBF,86.64,FBF,bigmed,"['(2R,5S)-2,5-diamino-3-[[(2R)-2-amino-2-carboxyethyl]disulfanyl]-7-methyl-4-oxooctanoic acid', '(2S,3R)-2-[[(2R)-2-[[(2S)-2-amino-4-methylsulfanylbutanoyl]amino]-3-sulfanylpropanoyl]amino]-3-hydroxybutanoic acid', '(2R)-2-[[(2S,3R)-2-[[(2S)-2-amino-4-methylsulfanylbutanoyl]amino]-3-hydroxybutanoyl]amino]-3-sulfanylpropanoic acid', '(2S,3R)-2-[[(2S)-2-[[(2R)-2-amino-3-sulfanylpropanoyl]amino]-4-methylsulfanylbutanoyl]amino]-3-hydroxybutanoic acid', '(2S)-2-[[(2S,3R)-2-[[(2R)-2-amino-3-sulfanylpropanoyl]amino]-3-hydroxybutanoyl]amino]-4-methylsulfanylbutanoic acid']"
1352,1354,C66H108O12S,18.885,1124.7582,,FBF,86.63,FBF,bigmed,[]
19,20,C16H18FN3O3,0.647,319.1314,,FBF,86.22,FBF,bigmed,"['1-ethyl-6-fluoro-4-oxo-7-piperazin-1-ylquinoline-3-carboxylic acid', '1-ethyl-6-fluoro-4-oxo-7-piperazin-4-ium-1-ylquinoline-3-carboxylate', '3-[2-[(2S,3S)-3-ethoxypyrrolidin-2-yl]-2-oxoethyl]-5-fluoroquinazolin-4-one', '2-(2,4-dioxo-1,3-diazaspiro[4.5]decan-3-yl)-N-(4-fluorophenyl)acetamide', '3-[[1-(3-fluorobenzoyl)piperidin-4-yl]amino]pyrrolidine-2,5-dione']"
2234,2236,C27H47O10P,4.749,562.2907,,FBF,86.09,FBF,bigmed,"['[(2R)-2-[(E)-5,8-dioxooct-6-enoyl]oxy-3-phosphonooxypropyl] hexadecanoate', '[1-[2,3-dihydroxypropoxy(hydroxy)phosphoryl]oxy-3-pentanoyloxypropan-2-yl] (7Z,10Z,13Z)-hexadeca-7,10,13-trienoate', '[1-hydroxy-3-[hydroxy-(3-hydroxy-2-propanoyloxypropoxy)phosphoryl]oxypropan-2-yl] (9Z,12Z,15Z)-octadeca-9,12,15-trienoate', '[1-[2,3-dihydroxypropoxy(hydroxy)phosphoryl]oxy-3-propanoyloxypropan-2-yl] (9Z,12Z,15Z)-octadeca-9,12,15-trienoate', '[1-hydroxy-3-[hydroxy-(3-hydroxy-2-pentanoyloxypropoxy)phosphoryl]oxypropan-2-yl] (7Z,10Z,13Z)-hexadeca-7,10,13-trienoate']"
1442,1444,C35H59NO8,19.093,621.4269,,FBF,85.5,FBF,bigmed,"['(2Z)-2-[(3R,4S,5S,8S,9S,10S,11R,13R,14S,16S)-16-acetyloxy-3,11-dihydroxy-4,8,10,14-tetramethyl-2,3,4,5,6,7,9,11,12,13,15,16-dodecahydro-1H-cyclopenta[a]phenanthren-17-ylidene]-6-methylhept-5-enoic acid;2-(2-hydroxyethylamino)ethanol', '16-ethyl-6,8,9-trihydroxy-12-(methoxymethyl)-25,27-dimethyl-2-propyl-1-oxa-4-azacyclooctacosa-12,14,26-triene-3,20,28-trione', '(2S,6S,8S,9R,12Z,14E,16R,25R,26E)-16-ethyl-6,8,9-trihydroxy-12-(methoxymethyl)-25,27-dimethyl-2-propyl-1-oxa-4-azacyclooctacosa-12,14,26-triene-3,20,28-trione', '(2S,6S,8S,9R,12Z,14Z,16R,25R,26E)-16-ethyl-6,8,9-trihydroxy-12-(methoxymethyl)-25,27-dimethyl-2-propyl-1-oxa-4-azacyclooctacosa-12,14,26-triene-3,20,28-trione', '(1S,2R,4S,8S,11S,13S,22R,23E,25Z,27S)-22-ethyl-2,4-dihydroxy-27-methoxy-11,13-dimethyl-8-propyl-9,28-dioxa-6-azabicyclo[24.2.2]triaconta-23,25-diene-7,10,18-trione']"
3590,3593,C10H6O4,0.933,190.0273,,FBF,84.73,FBF,bigmed,"['5,8-dihydroxynaphthalene-1,4-dione', '4-oxochromene-2-carboxylic acid', '2-oxochromene-3-carboxylic acid', '4-oxochromene-3-carboxylic acid', '1,2-bis(furan-2-yl)ethane-1,2-dione']"
